Imatest,4.5.13, , CPIQ Dot Chart Analysis
File,DotPattern_1.PNG
Run date,18-Jul-2017 10:37:10,,Build 2017-02-01

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 88.984253, degrees,
VFOV, 75.001237, degrees,
DFOV, 106.622497, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 0.607771
CPIQ Quality Loss, 0.000000
Maximum LCA in Pixels, 0.759714
Number of Dots, 298

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, 340.538921, 340.085076, 339.348195
, 276.073013, 275.704188, 275.094900
, 277.065511, 276.696683, 276.087397
, 341.534096, 341.080250, 340.343369
, 463.010965, 462.433478, 461.510722
, 402.938536, 402.414552, 401.571231
, 403.935196, 403.411197, 402.567896
, 464.008852, 463.431016, 462.508276
, 463.082106, 462.504815, 461.582033
, 464.079835, 463.502200, 462.579434
, 403.021538, 402.497721, 401.654436
, 340.638456, 340.184801, 339.447936
, 276.197294, 275.828474, 275.219181
, 210.146275, 209.863178, 209.384028
, 211.132283, 210.849187, 210.370029
, 277.189347, 276.820524, 276.211231
, 341.633341, 341.179684, 340.442817
, 404.017989, 403.494161, 402.650897
, 143.284907, 143.079329, 142.758365
, 77.986301, 77.864911, 77.676677
, 35.545382, 35.490789, 35.403776
, 78.878078, 78.756663, 78.568478
, 144.254214, 144.048627, 143.727655
, 471.470416, 470.885494, 469.943645
, 472.448138, 471.863064, 470.921211
, 413.168229, 412.634962, 411.780164
, 414.138083, 413.604803, 412.750015
, 353.189372, 352.723301, 351.965423
, 292.158556, 291.767780, 291.127469
, 293.094275, 292.703495, 292.063175
, 354.146797, 353.680716, 352.922827
, 231.410749, 231.085331, 230.559623
, 232.304268, 231.978786, 231.453085
, 173.658665, 173.415184, 173.014650
, 125.953383, 125.764884, 125.473442
, 105.345975, 105.190557, 104.930823
, 126.506039, 126.317610, 126.026186
, 174.457260, 174.213767, 173.813213
, 487.547072, 486.954291, 485.980399
, 488.488593, 487.895666, 486.921765
, 432.410431, 431.866167, 430.980692
, 433.333065, 432.788782, 431.903306
, 376.579738, 376.096192, 375.302654
, 377.473708, 376.990053, 376.196517
, 321.211058, 320.774186, 320.068976
, 322.058275, 321.621405, 320.916187
, 268.287371, 267.918261, 267.323773
, 269.055137, 268.685473, 268.090972
, 221.468068, 221.157668, 220.671816
, 222.091509, 221.781132, 221.295310
, 187.227934, 186.972849, 186.545544
, 174.300340, 174.061072, 173.654290
, 187.598244, 187.343275, 186.915949
, 510.222803, 509.615896, 508.617649
, 511.116934, 510.509859, 509.511608
, 459.174488, 458.605301, 457.683011
, 460.037732, 459.468534, 458.546276
, 408.461486, 407.935609, 407.085126
, 409.280485, 408.754191, 407.903691
